#,WORDS,MEANINGS,SYNONYMS,ANTONYMS
632,unprecedented,never done or known before,unrivalled| prodigious| anomalous| revolutionary,familiar| hackneyed| old| time-honored| tired| warmed-over
632,unprecedented,supply ungenerous or inadequate amount of something,unrivalled| prodigious| anomalous| revolutionary,familiar| hackneyed| old| time-honored| tired| warmed-over
634,extrapolate,estimate or conclude something by extrapolating,gauge| reckon| predict,wonted| common| usual| ordinary| frequent| unremarkable| 
635,liability,state of being responsible/ a person whose presence or behavior likely to put one at a disadvantage,culpability| guilt| onus| encumbrance| nuisance| impediment| achilles heel,advantage| asset| edge| plus
636,euphoric,characterized by feeling intense excitement,gleeful| exhilarated| animated| jubilant| exultant| intoxicated,depressed
637,elementary,most basic kind/ straightforward and uncomplicated,rudimentary| basal| preparatory| initiatory| radical| underlying| simplistic,advanced
638,heterodox,not conforming with accepted or orthodox standards or beliefs,heretical| dissident| blasphemous| apostate| iconoclastic| sceptical| agnostic| idolatrous| pagan| heathen,conforming| conformist| conventional| orthodox
639,fervent,having or displaying a passionate intensity,vehement| ardent| fervid| profound| zealous| fanatical| avid,cold| cool| dispassionate| emotionless| impassive| unemotional
640,gaffe,an unintentional act or remark causing embarrassment,blunder| indiscretion| impropriety,amenity| attention| civility| courtesy| formality| gesture
641,temper,act as a neutralizing or counterbalancing force to something,mitigate| palliate| alleviate| assuage,timidity| caution| circumspection| wariness| calculation 
642,painstaking,done with or employing great care and thoroughness,meticulous| assiduous| sedulous| industrious| laborious| punctilious| scrupulous| pedantic,careless
643,economy,careful management and available resources,thrift| prudence| canniness| frugality| abstemiousness| miserliness,diseconomy| wastefulness
644,qualm,"uneasy feeling of doubt/ misgiving, doubt",demur| apprehension| trepidation| disquiet| scruple| remorse,comfort| ease| self-satisfaction| self-approval 
645,exonerate,absolve from blame for wrongdoing/ release from duty,absolve| acquit| clear| exculpate| vindicate,criminate| incriminate
646,implicit,suggested though not directed expressed expressed/ always to be found in/ absolute,implied| tacit| unexpressed| unspoken| unvoiced| wordless,explicit| express| expressed| spoken| stated| voiced
647,phlegmatic,unemotional and stolidly calm disposition/ self-controlled,affectless| apathetic| cold-blooded| emotionless| impassible| impassive,demonstrative| emotional| fervent| fervid| hot-blooded| impassioned
648,propensity,natural tendency to behave in a particular way,aptness| proneness| tendency| way,N/A
649,foment,instigate or stir up,abet| brew| ferment| incite| instigate| pick,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
650,embellish,decorate/ make more interesting by adding extra details,color| elaborate (on)| embroider| exaggerate| hyperbolize| magnify,blemish| deface| disfigure| mar| scar| spoil
651,inviolate,free or safe from injury or violation,pure| hallowed| holy| inviolable| sacred| sacrosanct,blasphemous| irreverent| profane| sacrilegious
652,renege,"go back on a promise, undertaking, or contact",repudiate| retract| break,adhere (to)
653,arresting,eye-catching /seize/ attract the attention/ stop or check,conspicuous| dazzling| astonishing| staggering| phenomenal,boring| drab| dry| dull| heavy| monotonous
654,obstinate,very difficult to change or overcome,obdurate| refractory| rigid| inexorable| tenacious| pertinacious| dogged| adamant| steadfast,acquiescent| agreeable| amenable| compliant| complying| flexible
655,vivacious,attractively lively and animated,animated| effervescent| ebullient| buoyant| scintillating| jaunty| zestful,dead| inactive| inanimate| lackadaisical| languid| languishing
656,histrionic,dramatic behavior designed to attract attention,theatrics| tantrums| affectation| artificiality,undramatic
657,prodigious,remarkably great in extent size or degree,colossal| mammoth| inordinate| gargantuan| miraculous| grotesque (archaic),bantam| bitty| diminutive| infinitesimal| Lilliputian| little bitty
658,tentative,"provisional/ not certain or fixed, hesitant",conjectural| exploratory| pilot| wavering| diffident| iffy,independent| unconditional
659,falter,lose strength or momentum/ move hesitantly,halt| splutter| flounder| fluctuate| vacillate| waver| oscillate,dive (in)| plunge (in)
660,chastise,"rebuke or reprimand severely, punish",admonish| chide| censure| castigate| lambaste| scourge| wallop| discipline,excuse| pardon| spare
661,intermittent,"sporadic, not continuous or steady",sporadic| fitful| spasmodic| fragmentary| random,constant| continuous| incessant| unceasing
662,profound,very great or intense/ showing great knowledge,"earnest (of a state, quality, or emotion)| acute (of a state, quality, or emotion)| fervent (of a state, quality, or emotion)| ardent (of a state, quality, or emotion)| radical (of a state, quality, or emotion)| exhaustive (of a state, quality, or emotion)| scholarly (of a person or statement)| sagacious (of a person or statement)| erudite (of a person or statement)| penetrating (of a person or statement)| astute (of a person or statement)| sapient (of a person or statement)",shallow| superficial
663,propagate,reproduce / spread or promote,promulgate| broadcast| proclaim| preach| propagandize,extinguish| strangle| stifle| neutralize| reduce| contract| 
664,allusive,using or containing suggestion rather than explicit mention,figurative| emblematic| allegorical| parabolic| connotative| mnemonic,specification| demonstration| mention 
665,glib,fluent but insincere and shallow,plausible| urbane| voluble| loquacious| facile| superficial| simplistic,candid| genuine| heartfelt| honest| sincere| undesigning
666,curb,restrain or check on something,rein| deterrent| suppressant| retardant| trammel,lose
667,lull,make someone feel deceptively secure or confident/ calm,assuage| alleviate| pacify| mitigate| placate| mollify| diminish,N/A
668,mettlesome,"full of spirit and courage, lively",gritty| intrepid| gallant| valiant| audacious| tenacious| steadfast,dead| inactive| inanimate| lackadaisical| languid| languishing
669,astute,shrewd,shrewd| ingenious| canny| sagacious| artful| savvy| argute| sapient,unknowing
670,fawn,give a servile display of exaggerated flattery or affection,obsequious| servile| sycophantic| unctuous| abject,odium| prejudice| antipathy 
671,precipitous,dangerously high or steep/ done suddenly or without careful consideration,perpendicular| abrupt| impetuous| precipitate| imprudent| heedless| foolhardy| temerarious,deliberate| unhurried| unrushed
672,repercussion,unintended consequence of an event or action,rev.eration| backlash| ripple| aftermath| fallout,impact| stroke| shock| collision| contact 
673,regress,return to a former or less developed state,retrogress| subside| ebb| wane| retrograde,advance| develop| evolve| progress
674,refute,"disprove, deny or contradict",debunk| discredit| controvert| repudiate (a statement or accusation).| gainsay (a statement or accusation).,acknowledge| admit| allow| avow| concede| confirm
675,replenish,"fill something up again, restore",restock| restore| refill,lighten| deplete| drain| eliminate| exhaust| bleed
676,evoke,bring or recall/ elicit(response)/ invoke,invoke| elicit| kindle| stimulate| arouse,allay| stifle| stop| silence| prevent| seal 
677,ire,anger,exasperation| vexation| chagrin| choler,delight| pleasure
678,languid,having or showing disinclination for physical effort/ weak from illness or fatigue,"languorous (of a person, manner, or gesture)| lethargic (of a person, manner, or gesture)| phlegmatic (of a person, manner, or gesture)| torpid (of a person, manner, or gesture)| sluggish (of a person, manner, or gesture)| slothful (of a person, manner, or gesture)| indolent (of a person, manner, or gesture)| apathetic (of a person, manner, or gesture)",ambitious| animated| energetic| enterprising| motivated
679,mollify,appease the anger or anxiety/ reduce the severity,appease (someone).| placate (someone).| pacify (someone).| assuage (something)| alleviate (something)| mitigate (something)| lull (something)| quell (something),anger| enrage| incense| inflame| infuriate| ire
680,pretentious,"ostentatious, attempting to impress by affecting greater important or merit than is actually posses",ostentatious| fustian| extravagant| flamboyant| grandiloquent| magniloquent| bombastic| turgid| rhetorical,modest| unpretentious
681,duress,"threats, violence, constraint or other action used to coerce someone into doing something",coercion| compulsion| intimidation| enforcement| exaction,momentariness| instantaneousness| infinity| eternity 
682,vigilant,keeping careful watch for possible danger and difficulties,wary| circumspect| prudent| heedful,asleep
683,headstrong,energetically willful and determined,wayward| refractory| obstinate| obdurate| capricious,controllable| governable| manageable| tractable
684,convalescent,recovering from illness or medical treatment,recuperating| recovering| improving,soothing| smoothing| stroking| caress| pat 
685,nonplussed,so surprised and confused that one is unsure how to act,bewildered| bemused| perplexed| baffled| stupefied| befuddled| unnerved| astounded| flummoxed| bamboozled,suggest| indicate| conjecture| describe| recal| deprive| 
686,fret,visibly anxious / gradually wear away by rubbing / flow in waves,agonize| anguish| grumble| perturb,unpleasant| unacceptable| disagreeable| ungrateful| disobliged 
687,decry,publicly denounce,censure| lambaste| deplore| vilify| execrate| disparage| deprecate| excoriate| asperse,acclaim| applaud| exalt| extol| glorify| laud
688,recourse,source of help in difficult situation/ legal right to demand compensation,remedy| expedient| refuge| utilize (someone or something)| employ (someone or something),avoidance| independence| omission| abstinence| dispensation| disuse 
689,commence,begin,initiate| institute| inaugurate,conclude| end| finish| terminate
690,neutralize,"counteract, offset, counterbalance",offset| nullify| negate| annul| equalize| counterweigh,aggravate| enhance| intensify 
691,exorcise,completely remove from one's mind or memory(unpleasant),purify| cleanse| purge| lustrate,N/A
692,finicky,"fussy about their needs, greater attention to detail",fastidious| punctilious| awkward| perfectionist,undemanding| unfastidious| unfussy
693,assail,attack/ trouble/ criticize strongly,castigate| chastise| berate| lambaste| plague| beset| besiege,apathy| indifference| aimlessness| lulness| inertia| callousness| 
694,contravene,offend against the prohibition/ conflict with,breach| infringe| defy| flout,comply (with)| conform (to)| follow| mind| obey| observe
695,reiterate,"repeat, typically for emphasis or clarity",recapitulate| iterate| rehearse| belabour| ingeminate,cancel| withdraw| reverse| retract 
696,poignant,keen sense of sadness or regret,piteous| pitiable| wretched| plaintive,unaffecting| unemotional| unimpressive
697,inundate,overwhelm with things or people to be dealt with flood,overwhelm| bog down| besiege| bombard,drain
698,oblivion,unaware,stupor| stupefaction| coma| amnesia,N/A
699,ironclad,covered or protected with iron,hard| mighty| powerful| tough| unyielding| firm,uncertain| weak| feeble| fragile| frail| limp
700,plaintive,sounding sad and mournful,wistful| doleful| piteous| melancholy| melancholic| wretched| woeful| desolate,joyous| exultant| glad| jubilant| cheerful| cheering| 
701,surmount,overcome difficulty/ stand on top of,overcome| conquer| endure| crown,lose (to)
702,escalate,"increase rapidly, make more intense or serious",spiral| surge| heighten| strengthen,contract| decrease| diminish| dwindle| lessen| recede
703,denounce,publicly declare to be wrong/ inform against,anathematize| censure| condemn| damn| decry| execrate,bless
704,foil,prevent from succeeding/ frustrate the efforts,thwart| frustrate| balk| impede| snooker| derail,advance| cultivate| encourage| forward| foster| further
705,deviate,depart from an established course,diverge| digress| slew| contravene,natural| normal| regular| standard| typical
706,buoyant,cheerful and optimistic/ (economy) engaged in successful trade on activity / floating,blithe| effervescent| jaunty| ebullient| vivacious| optimistic| sanguine| burgeoning (of economy)| mushrooming (of economy),dour| gloomy| glum| morose| saturnine| sulky
707,benevolent,well meaning and kindly,benign| altruistic| magnanimous| lavish| bountiful| beneficent| indulgent| bounteous| benignant,atrocious| barbaric| barbarous| bestial| brutal| brute
708,intertwine,connect or link closely/ twist or twine together,entwine| interweave| interlace| convolute,disentangle| unsnarl| untangle| untwine| untwist
709,berate,scold or criticize angrily,reprimand| admonish| chastise| chide| upbraid| castigate| lambaste| criticize| censure,withhold| alienate \n\| disinheritance| transference| abalienation| dispossession 
710,quiescent,in a state or period of inactivity or dormancy,inert| fallow| stagnant| sluggish| lethargic| torpid,active
711,mercurial,subject to sudden or unpredictable changes of mood or mind,capricious| temperamental| fickle| protean| mutable| erratic| kaleidoscopic| wavering| wayward| whimsical,certain| changeless| constant| immutable| invariable| predictable
712,despotic,"of or typical of a despot, tyrannical/ autocratic",autocratic| arbitrary| autarchic| monocratic| imperious,limited
713,perpetrate,"carry out or commit(harmful, illegal or immoral action)",execute| accomplish| inflict| effectuate,achieve| perfect 
714,subsume,include or absorb in something else,carry| comprehend| contain| embrace| encompass| entail,exclude| leave (out)| miss out| omit
715,subside,"become less intense, violent or severe/go down to a lower or the normal level",abate| soften| alleviate| attenuate| dwindle| wane| ebb,accumulate| balloon| build| burgeon| enlarge| escalate
716,condone,accept (behavior that is considered morally wrong),disregard| connive at| pardon| excuse,expiation| satisfaction| atonement 
717,tangential,relating to or along a tangent/ diverging from a previous course or line,incidental| peripheral| tangent| extraneous| immaterial| impertinent,applicable| apposite| apropos| germane| material| pertinent
718,jeopardize,"threaten, endanger",endanger| imperil| menace| prejudice| peril,rich| exuberant| racy| abundant| interesting| overwrought| 
719,disinterested,unbiased,impartial| neutral| non-partisan| clinical| equitable,concerned| interested
720,buttress,support/ increase the strength of or justification for,strengthen| reinforce| fortify| underpin| cement,N/A
721,bereft,deprived of or lacking (something)/ sad and lonely,in need of| lacking| without| free from,filled| flush| fraught| full| replete| rife
722,frailty,weak and delicate/ weakness in character or morals,debility| indisposition| susceptibility| impressionability| fallibility| blemish,merit| virtue
723,disentangle,free from something that they are entangled with,extricate| extract| disengage| untwine,entangle| snarl| tangle
724,pomposity,the quality of being pompous; self-importance,grandiosity| pretension| vanity| haughtiness| conceit| egotism| superciliousness| bombast| pedantry| fustian| euphuism,humility| modesty| unassumingness| unpretentiousness
725,delineate,describe or portray precisely/ indicate the exact,outline| depict| portray| chart| delimit,misrepresent| caricature| exaggerate| misportray 
726,conclusive,(of evidence or argument) having or likely to have the effort of proving a case,irrefutable| clinching| unequivocal,inconclusive| indecisive| unclear
727,vitality,the state of being strong and active; energy,animation| vivacity| exuberance| zest| ardour| zeal,inactivity| lifelessness
728,steadfast,"resolutely or dutifully firm and unwavering, loyal",staunch| resolute| stalwart| stout| implacable| inflexible,disloyal| faithless| false| fickle| inconstant| perfidious
729,archetype,a very typical example of a certain person or thing,stereotype| original| embodiment| exemplar| quintessence| paradigm,descendant
730,relent,become less severe and intense,slacken| abate| diminish| moderate| subside,resist
731,grievance,unfair treatment,atrocity| affront| rancour| pique| umbrage| plaint,congratulation| boon| rejoicing| benefit| alleviation| disburdenment| 
732,harangue,a lengthy and aggressive speech,tirade| diatribe| polemic| berating| censure| admonition| exhortation,stammer| stutter| mutter| mumble| drawl| insinuation| 
733,auspicious,"conductive to success, favorable",propitious| rosy| optimistic| providential| felicitous,bleak| dark| depressing| desperate| discouraging| disheartening
734,yield,produce or provide/ surrender/ give way under force or pressure,capitulate| relent| sanction| warrant| relinquish| bequeath| remit| cede,hold off| resist
735,appropriate,proper/ seize/ devote to a special purpose,pertinent| apposite| germane| congruous| expedient| felicitous| befitting| appurtenant,improper| inapplicable| inapposite| inappropriate| inapt| incongruous
736,rhetoric,the art of effective or persuasive speaking or writing,oratory| eloquence| bombast| turgidity| grandiloquence| pomposity| hyperbole| v.osity| prolixity| fustian| euphuism,inarticulateness
737,conspire,make secret plans jointly,intrigue| collude| consort| manoeuvre| abet| cabal,oppose| counteract| withstand| run counter to 
738,whimsical,playfully fanciful/ acting in a capricious manner,waggish| quaint| eccentric| quirky| idiosyncratic| peculiar| capricious| fickle| erratic| mercurial| mutable| protean| vacillating| wayward| ,staid| serious| sober| orderly| demure| sedate 
739,proxy,the authority to represent someone else,substitute| surrogate| attorney| ambassador| emissary| procurator,principalship| personality| principal| person| authority| depeter 
740,sparse,"thinly dispersed or scattered, in short supply",scanty| scant| scarce| sporadic| meagre| limited,abundant| ample| bountiful| copious| generous| liberal
741,adverse,"preventing success, harmful",unfavourable| inauspicious| pernicious| antagonistic| inimical,advantageous| favorable| friendly| positive| supportive| sympathetic
742,exhort,strongly encourage or urge,adjure| entreat| implore| beseech| admonish,deprecate| dissuade| warn| remonstrate 
743,poise,"graceful, composure and dignity of manner",equilibrium| grace| equanimity| aplomb| sangfroid| serenity| suaveness| urbanity,disequilibration| disequilibrium| imbalance| nonequilibrium| unbalance
744,adept,very skilled at something,proficient| virtuoso| adroit| dexterous| deft| artful,amateur| amateurish| inexperienced| inexpert| jackleg| unprofessional
745,tedious,"too long, slow or dull",monotonous| humdrum| mundane| soporific| monochrome| banal| vapid| insipid| pedestrian| prolix| laborious| ponderous| mechanical| dreich| ,absorbing| engaging| engrossing| gripping| interesting| intriguing
746,rigor,a sudden feeling of cold with shivering accompanied by a rise in temperature,adversity| asperity| difficulty| hardness| hardship,flexibility| gentleness| laxness| mildness
747,articulate,ability to speak fluently/ jointed segments,loquent| coherent| lucid| vivid| cogent,inarticulate| ineloquent| unvocal
748,suspect,doubt the genuineness,doubt| distrust| mistrust,gangbuster| lawman
749,play,cunning plan/ an activity done for amusement,relax| rest| amusement| pleasure| diversion| distraction| drama| scope| latitude| liberty,genuine| sterling| transparent| unmistakable| profound 
750,captious,tending to find fault or raise petty objections,quibbling| cavilling| carping| censorious| pedantic| pettifogging,uncritical
751,lugubrious,looking or sending sad and dismal,doleful| eeyorish| melancholy| woeful| forlorn| despondent| sombre| solemn| saturnine| pessimistic,bright| cheerful| cheering| cheery| comforting| cordial
752,transcend,go beyond the range/ surpass,excel| trump| eclipse| overshadow| upstage,fail| fall| foil 
753,flustered,make (someone) agitated or confused,aggravated| agitated| bothered| chagrined| dismayed| disquieted,assured| calm| collected| composed| confident| cool
754,incidental,occurring by chance/ happening as a result/ less important,random| fortuitous| serendipitous| adventitious| coincidental| aleatory,calculated| deliberate| intended| intentional| planned| premeditated
755,axiomatic,self-evident or unquestionable,unquestionable| undeniable| granted| apodictic,nonsense| absurdity| soliloquy| absurdness 
756,macabre,disturbing because concerned with or causing a fear of death,morbid| ghastly| horrendous| dreadful| appalling| loathsome| repugnant,fatten| replenish| pamper| repair| swell 
757,gullible,"easily persuaded to believe something, credulous",credulous| exploitable| ingenuous| naive,N/A
758,ingrained,firmly fixed or established/ difficult to change,entrenched| implanted| abiding| inbred| intrinsic,adventitious| extraneous| extrinsic
759,tacit,"understood or implied without being stated, implicit",implicit| implied| inferred| insinuated| unstated,explicit| express| expressed| spoken| stated| voiced
760,exorbitant,unreasonably high (of price or amount),extortionate| preposterous| inordinate| punitive| ruinous| extravagant,middling| moderate| modest| reasonable| temperate
761,serene,"calm, peaceful and untroubled, tranquil",tranquil| pacific| poised| imperturbable| placid| soothing,boisterous| clamorous| clattery| deafening| loud| noisy
762,treatise,a written work dealing formally and systematically with a subject,disquisition| exposition| dissertation| thesis| critique| tractate| institutes,jottings| notes| adversaria| memoranda| effusion| ephemera 
763,corporeal,"relating to a person's body especially as opposed to their spirit, (law) consisting of material obj",carnal| corporal| mortal| substantial| tangible| concrete,nonmaterial| nonphysical
764,figurative,"departing from a literal use of words, metaphorical",metaphorical| non-literal| allegorical| emblematic| poetic| ornate| florid| tropical| parabolic,nonfigurative| nonmetaphorical
765,morose,sullen and ill-tempered,sullen| taciturn| saturnine| pessimistic| lugubrious| eeyorish| melancholy| melancholic| doleful| despondent| churlish| waspish,bright| cheerful| cheering| cheery| comforting| cordial
766,fickle,changing frequently especially as regard one's loyalties or affections/ capricious,capricious| mercurial| vacillating| giddy| skittish| erratic| random| mutable,certain| changeless| constant| immutable| invariable| predictable
767,ramification,a complex or unwelcome consequence of an action,consequence| aftermath| sequel| implication| outgrowth| spin-off,consideration| determinant| factor| base| basis| beginning
768,eclectic,"deriving ideas, style or taste from a broad and diverse range of sources",encyclopedic| liberal| multifaceted| heterogeneou| discerning| critical,homogeneous
769,apprehensive,anxiety or fear that something bad will happen,anxious| agitated| restless| fidgety| neurotic| trepidatious,insensible| oblivious| unaware| unconscious| unmindful| unwitting
770,idiosyncratic,peculiar or individual,peculiar| eccentric| aberrant| anomalous| quirky| freakish| singular,general| generic| popular| public| shared| universal
771,insolent,showing a rude and arrogant lack of respect,impertinent| impudent| contemptuous| presumptuous| audacious| brazen| pert,meek| mousy| retiring| shy| timid
772,ardent,very enthusiastic or passionate,avid| fervent| fervid| zealous| vehement| assiduous,cold| cool| dispassionate| emotionless| impassive| unemotional
773,doctrinaire,"dogmatic, rigid seeking to impose a doctrine in all circumstances without regard to practical consi",dogmatic| rigid| adamant| pontifical| authoritarian| prejudiced| fanatical| zealous,latitudinarian| undoctrinaire| undogmatic
774,officious,intrusively enthusiastic in offering help or advice/ interfering,bumptious| self-assertive| overzealous| dictatorial| intrusive| meddlesome| pragmatic,unobtrusive
775,cease,come or bring to an end,halt| conclude| terminate| abate,continue| hang on| persist
776,lavish,very generous or extravagant/ rich,sumptuous| luxuriant| opulent| ornate| pretentious,middling| moderate| modest| reasonable| temperate
777,conductive,having the property of conducting something,N/A,N/A
778,equanimity,"calmness and composure, especially in a difficult situation",serenity| placidity| tranquillity| impassivity| equilibrium| poise| aplomb| sangfroid,agitation| discomposure| perturbation
779,supplant,supersede and replace,supersede| undermine| override| oust| usurp| topple| dethrone,active| energetic| laborious| diligent| indefatigable 
780,lampoon,"publicly criticize someone by using ridicule, irony or sarcasm",satirize| ridicule| caricature| burlesque| parody| pasquinade,welcome| hall 
781,bombastic,"high-sounding but with little meaning, inflated",pompous| blustering| v.ose| turgid| lofty| ostentatious| grandiloquent| magniloquent| fustian,unrhetorical
782,lambaste,criticize harshly,criticize| castigate| chastise| censure| harangue| upbraid| admonish| berate| reprehend| excoriate| objurgate,clerical| legal| ministerial| ecclesiastical| sacerdotal| priestly| 
783,undercut,offer goods or services at a lower price than competitor,undermine| sap| subvert| sabotage| destabilize| demolish,N/A
784,euphemism,polite term/ coy term,substitute| underplaying| softening| politeness,N/A
785,turpitude,depraved of wicked behavior or character,wickedness| depravity| vice| degeneracy| baseness| iniquity,goodness| nobility| commendableness| excellence 
786,peccadillo,a relatively minor fault or sin,misdemeanour| delinquency| indiscretion| lapse| infraction| error,blamelessness| faultlessness| guiltlessness| impeccability| innocence| irreproachability
787,antagonistic,cause to become hostile,inimical| averse| belligerent| bellicose| pugnacious| truculent,friendly| hospitable| nonantagonistic| nonhostile| sympathetic
788,barren,unproductive/ infertile/ lifeless,infertile| unfruitful| sterile| arid| desert| desolate,fertile| fruitful| lush| luxuriant| productive| rich
789,philistine,hostile or indifferent to culture and arts,crass| tasteless| boorish| barbaric| primitive| savage| brutish| coarse,misanthropy| hatred of men 
790,relegate,assign an inferior rank or position to,consign| banish| exile| demote| degrade| disrate,yielding| humane| feeling| clement| merciful| compassionate 
791,dirge,"a lament for the dead, especially one forming part of a funeral rite",elegy| lament| requiem| keen,anthem| the deum| jubilate 
792,imperturbable,"unable to be upset or excited, calm",poised| tranquil| serene| placid| nonchalant,perturbable| shakable
793,excoriate,criticize severely / remove part of the surface of skin,censure| den.ce| lambaste| cavil at| disparage| malign| vilify| pummel| derogate| reprehend,admit| readmit| inaugurate| enroll 
794,curmudgeon,"a bad-tempered person, especially an old one",bear| bellyacher| complainer| crab| crank| croaker,trump| good fellow| brick 
795,swindle,use deception to deprive (someone) of money or possessions,exploit| delude| hoax| hoodwink| bamboozle| embezzle,slow| tardy| lingering| lazy| loitering| unexpeditious| 
796,wheedle,use flattery or coaxing in order to persuade someone to do something or give one something,cajole| inveigle| lure| induce| blarney| entice| beguile,deter| chide| scare| undeceive| disabuse 
797,sentimental,"prompted by feeling of tenderness, sadness or nostalgia",nostalgic| tender| mawkish,unsentimental
798,miscreant,a person who has done something wrong or unlawful,malefactor| sinner| transgressor| outlaw| trespasser| scoundrel| reprobate,N/A
799,implacable,unable to be appeased or placated,inexorable| intransigent| adamant| ruthless| remorseless| merciless| pitiless,acquiescent| agreeable| amenable| compliant| complying| flexible
800,haughty,arrogantly superior and disdainful,vain| snobbish| pompous| egotistical| supercilious| condescending| lofty| scornful| contemptuous| disdainful| imperious| cavalier,humble| lowly| modest| unarrogant| unpretentious
801,estimable,worthy of great respect,admirable| applaudable| commendable| creditable| laudable| meritorious,censurable| discreditable| illaudable| reprehensible
802,tangible,perceptible by touch/ clear and definite,palpable| tactile| corporeal| solid| concrete,impalpable| intangible
803,chary,"wary, cautiously or suspiciously reluctant to do something",wary| circumspect| heedful| guarded| sceptical| dubious| loath| averse,careless| heedless| incautious| unguarded| unmindful| unsafe
804,repugnant,unacceptable / in conflict or incompatible with,abhorrent| loathsome| execrable| abominable| deplorable| noxious| obscene| base| hideous| obnoxious| ghastly| putrid| skanky| scurvy| ,innocuous| inoffensive
805,xenophobic,having or showing a dislike against people from other counties/ racist,racist| ethnocentric| prejudiced| intolerant| bigoted| parochial| insular,internationalist
806,squander,waste in a reckless manner,misuse| dissipate| lavish| splurge,conserve
807,cajole,persuade to do something by flattery,wheedle| coax| manoeuvre| beguile| entice| inveigle| blandish,chide| rate| scold| warn 
808,unalloyed,pure/ complete and unreserved,absolute| fine| neat| plain| pure| purified,adulterated| alloyed| diluted| impure| mixed
809,heady,intoxicating / having a strong or exhilarating effect,exhilarating| stimulating| invigorating| galvanizing| arousing,depressed
810,exigent,"pressing, demanding",acute| burning| clamant| compelling| critical| crying,noncritical| nonurgent
